D3C2_Parent	D3C2_R1_T1	D3C2_R2_T1	D3C2_R3_T1	D3C2_R1_T2	D3C2_R2_T2	D3C2_R3_T2	D3C2_R1_T3	D3C2_R2_T3	D3C2_R3_T3	D3C2_R1_T5	D3C2_R2_T5	D3C2_R3_T5	D3C2_R1_T6	D3C2_R2_T6	D3C2_R3_T6	D3C2_R1_T8	D3C2_R2_T8	D3C2_R3_T8	D3C2_R1_T9	D3C2_R2_T9	D3C2_R3_T9	D3C2_R1_T10	D3C2_R2_T10	D3C2_R3_T10	D3C2_R1_T13	D3C2_R3_T13	D3C2_R1_T15	D3C2_R3_T15	D3C2_R3_T17	D3C2_R1_T19	D3C2_R3_T19
RG32	0.00970929963431005	0.00581427352544519	0.0151187192313276	0.00927412483294915	0.000221940942902225	0.00968013468013468	0.00390713321232279	2.44999709062845e-05	0.00109995570648162	0.000729734482152277	0	0	0	2.07520544533909e-06	0	4.25927570563511e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG33	0.00775355274730362	0.0032959017972642	0.0060184513046577	0.00158754361260348	0.00233731555493905	0.00947393397057827	0.00550464143758835	0.000254187198152702	0.00334908213986909	0.00128362933005099	0	0.000150108828900953	1.45100184422334e-06	0	0	9.06228873539386e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG34	0.013123177336481	0.00622712134973715	0.00538493011469373	0.0108168225807898	0.00386315953739185	0.00273145323480894	0.00768114073920678	0.000542061856301546	0.000349426645012058	0.00162124142781783	3.30710432150345e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG35	0.0027311021617368	0.00333030578262186	0.0162471788509509	0.0109065143103154	0.000156052225478127	0.0114314283777371	0.00229694635034877	1.22499854531423e-05	0.000947389143166494	3.51679268507122e-06	0	1.60830888108164e-05	0	0	0	9.06228873539386e-07	0	0	0	0	0	0	0	0	0	0	2.90195737024623e-05	0	0	0	0	0
RG36	6.94348007221219e-05	0.000220185506289049	0.000204574550925865	0.000224229323814051	0.000995266415827164	0.000757010824124918	0.000490240619393665	0.00187424777433077	0.00126236527388159	0.00138385792157552	0.00663405126893593	0.00353827953837961	0.00526278368899807	0.00171827010874077	0.000891547309412273	0.00143637276455993	0.00482516148630987	0.00294718168429509	0.00348645843487835	0.00260273596308098	0.00497645234891476	0.0040862978607902	0.000154571024005432	0.000189106750760804	0.000122873604019332	0.00020117525284809	0.000217646802768467	0.000532694100412838	0.000489030877088903	0.000249903943171843	0.000131920320126644	7.67168126721562e-05
RG37	0.0120585103920752	0.0104794539399444	0.00989216941412488	2.69075188576861e-05	0.00632878469994625	0.00362969742164373	0	0.00240712214154246	0.000369112653181751	3.51679268507122e-06	0.000836697393340374	1.96571085465534e-05	1.45100184422334e-06	0.000456545197974599	0	0	4.23879486352258e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG38	1.15724667870203e-05	0.000233947100432114	0.000369554027478982	0.000179383459051241	0.000208069633970836	0.000836101507242447	0.000185953338390701	0.000900373930805957	0.00365421526649934	0.00139440829963074	0.000537955636297895	0.010150216049493	0.00360428858105079	8.30082178135635e-05	0.00147835269271383	0.00078116928899095	7.3001467094e-05	0.00243841210336056	0.000955717772718845	4.80716404790682e-05	0.00268750365646756	0.00129141432133951	0	2.45138380615858e-05	3.12059946715764e-05	0	1.45097868512312e-05	0	4.00844981220413e-06	3.12379928964804e-06	0	0
RG39	0.00843632828773781	0.00427297498142185	0.00902767695698655	0.00541738046334747	0.00036758968668181	0.00805595100897114	0.00267307923936632	1.53124818164278e-05	0.00102859392686648	0.000552136451556181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG40	0.00503402305235384	0.00562161120744227	0.0107896577665738	0.014314800032289	0.000423074922407366	0.000994282873477504	0.00362609009861866	2.44999709062845e-05	1.72252571484817e-05	0.00124494461051521	0	0	2.03140258191268e-05	0	1.41740430749169e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG41	0	2.75231882861311e-05	2.63967162484987e-05	8.96917295256205e-06	0.000135245262081043	5.08440105755542e-05	0.00113896419764304	0.000189874774523705	6.64402775727152e-05	8.26446280991736e-05	9.25989210020967e-05	5.18232861681862e-05	6.81970866784972e-05	0.0080642483605877	0.00458530293473562	0.00597204827662455	0.000138938276082129	8.53527915383585e-05	0.000103217519453635	0.000116745412592023	0.000138945767273153	9.54247035472543e-05	0.000184933189435071	0.00012957314403981	0.000134575852021173	0.000279049544273157	0.00024666637647093	0.000315410980507601	0.000200422490610206	0.000118704373006626	1.09933600105536e-05	7.30636311163392e-06
RG42	0.000231449335740406	0.000873861228084661	0.000732508875895839	0.000735472182110088	0.00406429351689699	0.00264106388267462	0.00126997677696376	0.00721217893553751	0.00323096609085093	0.00375065939862845	0.00391781625287442	0.00193354467703371	0.00398154906054886	0.00806009794969702	0.00473271298271475	0.00644419351973857	0.00306135184587742	0.00303086089168563	0.00387830272169307	0.00294610482364575	0.00355774293570467	0.00290727263473968	9.93670868606349e-05	0.000108561282844166	8.38661106798616e-05	0.000415329554267024	0.000319215310727085	0.000203264854104899	6.61394219013681e-05	3.90474911206005e-05	1.09933600105536e-05	1.09595446674509e-05
RG43	0.0119890755913531	0.016479508986321	0.00395290825821268	0.00400922030979523	0.00365855773065386	1.69480035251847e-05	0.00120024427506725	0.000290937154512129	4.92150204242335e-06	0.00110075611042729	0	3.57401973573698e-06	8.70601106534006e-06	0	2.83480861498338e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG44	0.0116303291209554	0.014064349214213	0.00335898214262146	0.0039464360991273	0.00321814367208226	1.69480035251847e-05	0.00113685109152497	0.000278687169058987	0	0.00122384385440478	0	0	2.61180331960202e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG45	0.00424709531083646	0.00783034706740429	0.00854593688545145	0.0143237692052416	0.00011443829868396	0.00168350168350168	0.00315698054040576	0	0.000113194546975737	3.51679268507122e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG46	8.10072675091422e-05	0.000350920650648171	0.000890889173386831	0.000556088723058847	0.000651951519775285	0.00218064312024044	0.000361341146191021	0.00161087308708821	0.00701560116147448	0.0026569368735713	0.000155433903110662	0.00301468564709414	0.0013610397298815	0.000178467668299162	0.00364272907025364	0.00161036870827949	4.70977207058064e-05	0.0015430445842817	0.000500796112904675	3.43368860564773e-05	0.00126513777569765	0.000763397628378034	0	9.80553522463431e-05	4.29082426734176e-05	0	4.35293605536935e-05	0	0	0	0	0
RG47	0.00613340739712077	0.00430737896677951	0.00205234468832077	0.00330065564654283	0.00368976817574948	0.0003333107359953	0.00408463412624119	0.00127093599076351	1.72252571484817e-05	0.00141375065939863	4.8504196715384e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG48	3.4717400361061e-05	0.000178900723859852	0.00039595074372748	0.000278044361529423	0.000267022696929239	0.000997107540731702	0.00079452790039663	0.00078093657263782	0.0033515428908903	0.00150167047652541	0.000283308603542129	0.00402434622243984	0.00155547397700742	0.000332032871254254	0.00618838720650872	0.00355332341314793	6.5936808988129e-05	0.00172044450394966	0.000582987841358495	4.12042632677728e-05	0.00148818229684666	0.00106875667972925	8.28059057171957e-06	0.000406229316449136	0.000247697582705638	0	0.000203137015917236	0	0	7.8094982241201e-06	0	0
RG49	1.15724667870203e-05	0.000116973550216057	0.000349756490292608	0.00034979774514992	0.000249683560765003	0.000923666192122568	0.000131012579320721	0.000615561769020399	0.00281263841724494	0.00117285036047125	7.38586631802438e-05	0.00154040250610264	0.000493340627035937	7.47073960322072e-05	0.00127708128105001	0.000658828391063133	1.17744301764516e-05	0.000466929977239256	0.000152914843635015	2.06021316338864e-05	0.000497279588135494	0.000315961796189798	0	2.80158149275266e-05	1.17022480018412e-05	0	1.45097868512312e-05	0	0	0	0	0
RG50	3.4717400361061e-05	0.000137615941430655	9.89876859318701e-05	7.17533836204964e-05	0.00054444887555702	0.000341784737757892	0.000156369852737635	0.000826874018087104	0.000497071706284758	0.000543344469843503	0.00160945743646501	0.000480705654456624	0.00125511659525319	0.000742923549431394	0.000391203588867707	0.000554612070606104	0.000697046266445935	0.000733029856741197	0.000770308524811389	0.000789748379298978	0.000976276838471889	0.000907594958182774	3.03621654296384e-05	2.45138380615858e-05	2.14541213367088e-05	3.56923835698224e-05	5.80391474049246e-05	5.60730632013514e-05	8.01689962440825e-05	2.65522939620084e-05	8.7946880084429e-05	2.55722708907187e-05
RG51	0.0131347498032681	0.00877301626620428	0.00213153483706627	0.00459221655171177	0.00250377126211572	0.000412401419112828	0.00198631975099158	0.000217437241793275	1.476450612727e-05	0.000733251274837348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG52	0.0015391380826737	0.00891751300470646	0.00508796705689812	0.00703183159480864	0.000745582855062161	0.000485842767721962	0.00374231093511285	5.51249345391402e-05	3.69112653181751e-05	0.000678740988218745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG54	0.00924640096282924	0.000357801447719704	0.00989216941412488	0.00719327670795476	0	0.00159876166587576	0.0017179552739959	0	4.92150204242335e-05	0.000316511341656409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG55	0.000115724667870203	0.000309635868218974	0.000653318727150342	0.000636811279631905	0.000610337592981118	0.0019942150814634	0.000361341146191021	0.00129237346530651	0.00539396623849599	0.0022419553367329	0.000158741007432166	0.00258759028867357	0.00106358435181571	0.000141113970283058	0.00347264055335464	0.001357530852562	2.35488603529032e-05	0.000940554291069755	0.000359349882542286	4.12042632677728e-05	0.00095068156555315	0.000515293399155173	0	5.60316298550532e-05	1.17022480018412e-05	0	1.45097868512312e-05	0	0	1.56189964482402e-06	0	0
RG56	0.0037031893718465	0.0115528582831035	0.00827537054390434	0.00469087745418995	0.000586062802351187	0.000180778704268637	0.000957237071488493	2.75624672695701e-05	4.92150204242335e-06	1.75839634253561e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG57	0.00313613849928251	0.0048922467178598	0.00488339250597226	0.00139919098059968	0.000912038562238829	0.00372856077554064	0.000881165251237752	0.000131687343621279	0.00054382597568778	0.000174081237911025	0	0	0	0	0	0	0	0	0	6.86737721129546e-06	0	0	0	0	0	0	0	0	0	0	0	0
RG58	0.00736008887654492	0.00135551702309195	0.00950281784945953	0.00177589624460728	0.000159520052710974	0.00267778455697919	0.000661402214957833	6.12499272657114e-06	0.000319897632757518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG59	0.00406193584224413	0.00353672969476784	0.000956880964008077	0.00758792031786749	0.000454285367502991	1.97726707793822e-05	0.00353311342942331	3.06249636328557e-05	2.46075102121167e-06	0.000346404079479515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG60	0.000509188538628894	0.00172019926788319	0.000626922010901844	0.000520212031248599	0.00452898236609852	0.00448274693241136	0.001248845715783	0.00362599569413011	0.0022343619272602	0.000701600140671707	2.64568345720276e-05	3.93142170931068e-05	2.75690350402435e-05	1.03760272266954e-05	1.13392344599335e-05	9.06228873539386e-06	0	0	0	0	0	0	0	0	0	0	0	7.00913290016892e-06	0	0	0	0
RG61	0.0085983428227561	0.000309635868218974	0.00846674673670595	0.00563264061420896	0	0.00108184755835763	0.00154679367843174	0	4.67542694030218e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG62	0.00307827616534741	0.0096812814796466	0.00696213391054153	0.00393746692617474	0.000405735786243129	9.60386866427135e-05	0.000931879798071579	5.20624381758547e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG63	1.15724667870203e-05	5.50463765722621e-05	3.9595074372748e-05	3.58766918102482e-05	0.000287829660326323	0.00017795403701444	0.000287382432058356	0.000529811870848403	0.000221467591909051	0.000254967469667663	0.000190709682540033	0.000103646572336372	0.000163963208397238	0.00195484352950942	0.000902886543872207	0.00171096011324236	0.000219004401282	0.000142254652563931	0.000219815087725334	0.000144214921437205	0.000113350494354414	0.00014419732980474	8.00457088599559e-05	5.9533606720994e-05	5.46104906752587e-05	0.000233622874275201	0.000217646802768467	0.000133173525103209	7.81647713379805e-05	5.62283872136647e-05	0	7.30636311163392e-06
RG64	2.31449335740406e-05	0.00012385434728759	0.000303562236857735	0.000179383459051241	0.000208069633970836	0.000728764151582943	0.000333870766656031	0.000820749025360532	0.0025714848171662	0.00116229998241604	0.000636066397835831	0.00682637769525763	0.00306016288946703	0.000284303146011455	0.00337483965613772	0.00247400482476252	9.65503274469032e-05	0.00175558977105369	0.000514176161722739	2.74695088451818e-05	0.00118835195694144	0.000793085313926069	0	6.65375604528757e-05	2.73052453376294e-05	0	4.35293605536935e-05	0	1.20253494366124e-05	4.68569893447206e-06	0	0
RG65	1.15724667870203e-05	0	0	0	3.81460995613199e-05	1.97726707793822e-05	0.000466996452094828	3.98124527227124e-05	2.70682612333284e-05	2.98927378231053e-05	3.96852518580414e-05	2.68051480180274e-05	4.49810571709237e-05	0.00352162364074043	0.00180577308774441	0.00294796252562362	6.12270369175484e-05	4.85339402865176e-05	3.63172753633161e-05	6.18063949016592e-05	4.38776107178377e-05	5.51342731606358e-05	8.28059057171957e-06	3.15177917934674e-05	1.75533720027617e-05	0.000146014296422001	0.00013058808166108	7.71004619018581e-05	3.2067598497633e-05	2.49903943171843e-05	0	1.82659077790848e-06
RG66	0.00245336295884831	0.00251149093110946	0.00250768804360738	0.00229610827585588	0.000239280079066461	8.47400176259237e-05	0.0028167704553955	3.67499563594268e-05	0	0.00122911904343239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG67	0	4.81655795007294e-05	5.9392611559122e-05	3.58766918102482e-05	0.000173391361642363	0.000110162022913701	0.000124673260966492	0.00062168676174697	0.000221467591909051	0.000163530859855811	0.00108803732177464	0.000586139236660865	0.000886562126820463	0.00072839711131402	0.00032742039503058	0.000450395750149075	0.000892501807375032	0.000912103360556969	0.00106658103435423	0.000597461817382705	0.0026034049025917	0.00125536498888832	0.000138009842861993	0.000140079074637633	0.000111171356017491	7.4629529282356e-05	8.70587211073869e-05	0.000210273987005068	0.000208439390234615	0.000376417814402589	5.49668000527681e-05	2.55722708907187e-05
