D2C1_Parent1	D2C1_Parent2	D2C1_R1_T1	D2C1_R1_T2	D2C1_R1_T3	D2C1_R1_T4	D2C1_R1_T7	D2C1_R1_T8	D2C1_R1_T12	D2C1_R1_T13	D2C1_R1_T15	D2C1_R1_T17	D2C1_R1_T18	D2C1_R2_T1	D2C1_R2_T2	D2C1_R2_T3	D2C1_R2_T4	D2C1_R2_T6	D2C1_R2_T7	D2C1_R2_T8	D2C1_R2_T9_RESEQ	D2C1_R2_T12	D2C1_R2_T13	D2C1_R2_T14	D2C1_R2_T15	D2C1_R2_T17	D2C1_R2_T18	D2C1_R3_T1	D2C1_R3_T2	D2C1_R3_T3	D2C1_R3_T4	D2C1_R3_T6	D2C1_R3_T7	D2C1_R3_T8	D2C1_R3_T12	D2C1_R3_T13	D2C1_R3_T15	D2C1_R3_T17	D2C1_R3_T18
RG30	0.00197046416048571	0.00322293623331686	0.00205830031275889	0.0020223111292819	0.00182909827685559	0.000871229531251072	0.000157079165281316	1.48790703556842e-05	0	0	0	0	0	0.00143282556249489	0.00189798820005201	0.00169588542269259	0.00178030460223264	3.39981867633726e-05	0	0	0	0	0	0	0	0	0	0.00229408749145591	0.00298934118604934	0.00252319889671891	0.00179252817463839	0.00184042806993627	0.000694066356068509	0.000263039667778572	0	0	0	0	0
RG31	0.002525694490546	0.00318339100346021	0.0047941378579548	0.000438045731974418	8.1788947339071e-05	0	0	0	0	0	0	0	0	0.0052379890002231	0.000371492352323347	0.000231395497530766	0.000506287089679213	0	0	0	0	0	0	0	0	0	0	0.00360987696514012	0.000481384962365799	9.89489763419182e-05	4.25947289022983e-05	0	0	0	0	0	0	0	0
RG32	0.00824094582279703	0.00754097113958706	0.00120415384911792	0.00088339222614841	0.000672899975835084	0	0	0	0	0	0	0	0	0.000741355586010412	0.000439036416382137	2.43574207927123e-05	0	0	0	0	0	0	0	0	0	0	0	0.00146103896103896	0.000950883876278122	0.000547311525391235	8.51894578045967e-05	0	0	0	0	0	0	0	0
RG33	0.00293306456966632	0.00446556903304308	0.00246289600606251	0.0004708991618725	1.11530382735097e-05	0	0	0	0	0	0	0	0	0.00302500793319763	0.000759870720661392	0.000149189202355363	0	0	0	0	0	0	0	0	0	0	0	0.00335355434039645	0.00138769615694338	0.000572048769476715	0.000621173129825184	0	0	0	0	0	0	0	0
RG34	0.0139169689252069	0.00572036959580212	0.00107249969494769	3.65038109978682e-06	0	0	0	0	0	0	0	0	0	0.000598627314311211	3.37720320293952e-06	0	1.24496825330954e-05	0	0	0	0	0	0	0	0	0	0	0.00121966848940533	2.67436090203222e-05	0	3.5495607418582e-06	0	0	2.32778467060683e-06	0	0	0	0	0
RG35	0.0131324043283825	0.00649454351876497	0.000179820308134942	0	0	0	0	0	0	0	0	0	0	0.00128455444529281	1.68860160146976e-05	0	0	0	0	0	0	0	0	0	0	0	0	6.62166780587833e-05	0	0	0	0	0	0	0	0	0	0	0
RG36	0.0134009668249878	0.00533252214913115	0.00152526154221603	5.11053353970155e-05	0	0	0	0	0	0	0	0	0	0.000649898635212866	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000728383458646617	0	0	0	0	0	0	0	0	0	0	0
RG37	0.00210927174300078	0.00217194570135747	0.00163122708093841	0.00149300586981281	0.000293696674535755	0.000102901125738316	0	0	0	0	0	0	0	0.0013178115183101	0.00164132075662861	0.00117829023084746	0.000365190687637465	0.000147325475974615	0.000111317254174397	5.55940767599772e-05	4.69718795014718e-05	0	0	0	0	0	0	0.00257390635680109	0.00255252890538408	0.00197279521581699	0.000560830597213595	0.000365606922983972	0.000320018619265121	3.14250930531922e-05	0	0	0	0	0
RG38	0.00177130545513799	0.00224647324993346	0.00120415384911792	0.00198945769938382	0.000591111028496013	0.000123481350885979	0	1.23992252964035e-06	0	0	0	0	0	0.00113212619396356	0.0017088648206874	0.00152842815474269	0.000290492592438893	9.06618313689937e-05	0.000106679035250464	4.16955575699829e-05	9.39437590029436e-05	0	0	0	0	0	0	0.00233680792891319	0.00277539231388677	0.00174706786353699	0.000280415298606797	0.000390393833016784	0.000120526492969981	3.72445547297093e-05	0	0	0	0	0
RG39	6.94037912575364e-05	5.62759040267691e-05	4.17440001027545e-05	0.000595012119265251	0.000602264066769522	0.00901413861467644	0.00236927740965985	0.000153750393675403	0.000617798228636614	0.00349548499854355	0.00259403372243839	0.000172523939831849	0.000682698872104539	7.20569915374606e-05	0.000776756736676089	0.00066069503900232	0.00484707639955181	0.000362647325475975	0.000769944341372913	0.000248629065509898	0.00101772405586522	0.00140946570172803	0.00111687935634656	0.00194302904828427	0.00100626983512656	0.000189135446538566	0.000446548182548897	2.56322624743677e-05	0.000638875104374363	0.000769946722160551	0.0046108794036738	0.00104414858513219	0.000502886401702333	0.000135011510895196	0.00056641652729692	0.000388046258946622	0.000403188288930931	0.00081068579249305	0.000485973504176976
RG40	0.00167474365860577	0.00222517966462603	0.00131975261863324	0.00117542271413136	0.000762124282023161	0.000116621275836758	0	0	2.56347812712288e-06	0	0	3.41631564023463e-06	1.28206360958599e-05	0.00137878281884179	0.00176965447834031	0.00097429683170849	0.000199194920529526	2.26654578422484e-05	0.00012987012987013	0.000101922474059958	3.13145863343145e-05	2.54646016572363e-06	0	0	0	0	0	0.00215524606971975	0.00187799565564929	0.00163575026515234	0.00035495607418582	0.000486443109393929	0.000128838664898945	0	5.02736562689574e-06	0	0	0	0
RG41	0.0019795168289106	0.00174911593596715	0.00129727508011637	0.00137619367461963	0.000323438109931781	0	0	0	0	0	0	0	0	0.00124159739264548	0.00132724085875523	0.000484103738255156	0.000311242063327385	9.06618313689937e-05	0	0.000123542392799949	4.69718795014718e-05	0	0	0	0	0	0	0.00199504442925496	0.00184233751028886	0.00161410517657754	0.000756056438015796	0.000449262744344712	0.000220272556117551	0	0	0	0	0	0
RG42	0.00188295503237838	0.00210654397505609	0.000998644925535126	0.00159521654060684	0.000423815454393368	2.74403001968842e-05	0	0	0	0	0	0	0	0.00114321188496933	0.00157377669256982	0.000742901334177724	0.000278042909905797	5.6663644605621e-05	5.56586270871985e-05	7.5669715589969e-05	0	0	0	0	0	0	0	0.0016660970608339	0.00176507819534126	0.00140693075736165	0.000461442896441565	0.0004244758343119	0.000166243438579284	1.16389233530342e-06	0	0	0	0	0
RG43	0.00328611863823726	0.00296132932811133	0.00164086031173135	0.00022997400928657	0.000118965741584103	0	0	0	0	0	0	0	0	0.00193583879188139	0.000162105753741097	0	0	0	0	0	0	0	0	0	0	0	0	0.00191601161995899	0.000219891896389316	2.16450885747946e-05	0	0	0	0	0	0	0	0	0
RG44	0.00281537988014267	0.00305106658047835	0.00175003692738471	0.00025187629588529	0	0	0	0	0	0	0	0	0	0.00115429757597509	0.000114824908899944	3.04467759908903e-05	0	0	0	0	0	0	0	0	0	0	0	0.00261876281613124	0.000154518629895195	0	0	0	0	0	0	0	0	0	0
RG45	3.01755614163202e-06	9.1258222746112e-06	9.63323079294334e-06	3.65038109978682e-06	0	0.000974130656989388	0.000743508048998228	0.011246097343838	0.000606262577064561	0.000776774444120788	0.0014591439688716	0.000392876298626983	0.000323721061420462	8.31426825432238e-06	1.35088128117581e-05	1.21787103963561e-05	0.00143171349130597	0.000287095799335147	0.000338589981447124	0.00407844324230833	0.00034446044967746	7.13008846402616e-05	4.13659020869098e-05	0.000150752253746194	4.92579639572441e-05	1.27794220634166e-05	0	1.06801093643199e-05	1.18860484534765e-05	9.27646653205483e-06	0.00106486822255746	0.000517426746934944	0.000847841536754346	0.0085534447721448	0.000574795470008412	0.000229953338635035	0.000759854852215985	0.000302814987195933	0.000260098495193311
RG46	0.00202478017103508	0.00253849956272102	0.00156058338845682	0.000580410594866104	4.08944736695355e-05	0	0	0	0	0	0	0	0	0.00175569631303774	0.000520089293252686	0.000295333727111636	0.000228244179773416	0	0	0	0	0	0	0	0	0	0	0.000954801777170198	0.000303094235563651	2.78293995961645e-05	4.61442896441565e-05	0	0	0	0	0	0	0	0
RG47	0.00128246136019361	0.00168371420966577	0.0008669907713649	0.00100385480244137	0.000316002751082774	2.05802251476631e-05	0	0	0	0	0	0	0	0.000681769996854435	0.00116851230821707	0.000633292940610519	0.000211644603062622	4.53309156844968e-05	9.27643784786642e-06	5.25055169399785e-05	0	0	0	0	0	0	0	0.00128588516746411	0.00170267644096051	0.00132035040306247	0.000188126719318484	0.000359410195475769	9.97460631475701e-05	0	0	0	0	0	0
RG48	0.00738697743471517	0.00377809042168904	3.85329231717733e-05	0	0	0	0	0	0	0	0	0	0	0.000117785466936234	0	0	0	0	0	0	0	0	0	0	0	0	0	6.62166780587833e-05	0	0	0	0	0	0	0	0	0	0	0
RG49	0.00439959685449948	0.00473478079014411	0.000150920615756112	0	0	0	0	0	0	0	0	0	0	0.000356127823560142	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000192241968557758	0	0	0	0	0	0	0	0	0	0	0
RG50	0.00282443254856757	0.00385718088140233	0.000597260309162487	0	0	0	0	0	0	0	0	0	0	0.00130534011592861	0.000594387763717355	0.000194859366341698	0.000219944391418019	0	0	0	0	0	0	0	0	0	0	5.34005468215995e-05	2.97151211336913e-06	0	0	0	0	0	0	0	0	0	0
RG51	0.00307488970832302	0.00372029354728317	0.000510561232025997	0	0	0	0	0	0	0	0	0	0	0.00120695460825247	0.00063153699894969	0.000185725333544431	0.000265593227372702	0	0	0	0	0	0	0	0	0	0	0.000128161312371839	2.97151211336913e-06	0	0	0	0	0	0	0	0	0	0
RG52	0.00393791076482978	0.00281531617171756	0.000892679386812749	0.000726425838857577	0.000271390597988735	0	0	0	0	0	0	0	0	0.000570913086796803	0.000239781427408706	1.21787103963561e-05	0	0	0	0	0	0	0	0	0	0	0	0.00112995557074504	0.000255550041749745	2.78293995961645e-05	0	0	0	0	0	0	0	0	0
RG53	0.00333439953650338	0.00341153656032549	0.000603682463024449	2.55526676985077e-05	0	0	0	0	0	0	0	0	0	0.00129564013629857	0.000678817843790843	0.000240529530328034	0.000116197036975557	0	0	0	0	0	0	0	0	0	0	0.000113209159261791	0	0	0	0	0	0	0	0	0	0	0
RG54	0.0101208832990338	0.0021156697973307	4.49550770337356e-05	0	0	0	0	0	0	0	0	0	0	5.54284550288159e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	8.54408749145591e-06	0	0	0	0	0	0	0	0	0	0	0
RG55	0.00761329414533757	0.0025248108293091	0.00037569600092479	2.19022865987209e-05	0	0	0	0	0	0	0	0	0	7.48284142889014e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.27204374572796e-05	0	0	0	0	0	0	0	0	0	0	0
RG56	0.00659034261332432	0.0021171907677098	6.42215386196222e-05	0	0	0	0	0	0	0	0	0	0	0.000239728067999629	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000576725905673274	3.56581453604296e-05	0	0	0	0	0	0	0	0	0	0
RG57	0.0025075891536962	0.00303889881744553	0.000545883078266789	0	0	0	0	0	0	0	0	0	0	0.0009783122312586	0.000354606336308649	0.000173546623148075	9.12976719093663e-05	0	0	0	0	0	0	0	0	0	0	8.33048530416951e-05	0	0	0	0	0	0	0	0	0	0	0
RG58	0.0067955364309553	0.00219171831628579	0.000308263385374187	1.82519054989341e-05	0	0	0	0	0	0	0	0	0	7.62141256646218e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77682843472317e-05	0	0	0	0	0	0	0	0	0	0	0
RG59	0.00654809682734147	0.00205787292292483	1.28443077239244e-05	0	0	0	0	0	0	0	0	0	0	1.52428251329244e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	5.34005468215995e-05	0	0	0	0	0	0	0	0	0	0	0
RG60	0.00310204771359771	0.00367314346553101	2.889969237883e-05	0	0	0	0	0	0	0	0	0	0	3.60284957687303e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6120984278879e-05	0	0	0	0	0	0	0	0	0	0	0
RG61	0.00886859750025649	0.000792425567512073	3.21107693098111e-06	0	0	0	0	0	0	0	0	0	0	1.3857113757204e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13602187286398e-06	0	0	0	0	0	0	0	0	0	0	0
RG62	3.01755614163202e-06	6.08388151640747e-06	0	0.00129223490932453	0.00139041210476421	0.000192082101378189	0.000112573401784943	2.23186055335263e-05	0.000179443468898602	0.00155354888824158	0.0011348897535668	4.95365767834022e-05	0.000342952015564252	5.26570322773751e-05	0.00131035484274053	0.00113566474446021	0.000402539735236751	6.04412209126624e-05	4.63821892393321e-06	1.85313589199924e-05	0	0.000138782079031938	0.000258536888043186	4.35506510822337e-05	2.8147407975568e-05	9.20118388565996e-05	0.000312583727784228	4.91285030758715e-05	0.00318546098553171	0.00128633669244494	0.000390451681604401	3.71803650492175e-05	2.07804298224104e-05	2.90973083825854e-05	0.000187688316737441	0.000287441673293794	0	7.1531099337622e-05	0.000516774641765658
RG63	0.00522640723730665	0.00229058139092741	1.60553846549056e-05	0	0	0	0	0	0	0	0	0	0	2.77142275144079e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13602187286398e-06	0	0	0	0	0	0	0	0	0	0	0
RG64	0.00803273444902442	0.000620555914673562	0	0	0	0	0	0	0	0	0	0	0	1.3857113757204e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	4.27204374572796e-06	0	0	0	0	0	0	0	0	0	0	0
RG65	0.0045052113194566	0.00213392144187992	8.99101540674712e-05	0	0	0	0	0	0	0	0	0	0	4.43427640230527e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	8.54408749145591e-05	0	0	0	0	0	0	0	0	0	0	0
RG66	0.00353959335413435	0.00257043994068216	0.000150920615756112	5.84060975965891e-05	1.11530382735097e-05	0	0	0	0	0	0	0	0	9.97712190518686e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34962406015038e-05	0	0	0	0	0	0	0	0	0	0	0
RG67	0.00324085529611278	0.00259173352598958	5.13772308956978e-05	0	0	0	0	0	0	0	0	0	0	0.000224485242866704	0	0	0	0	0	0	0	0	0	0	0	0	0	6.83526999316473e-05	0	0	0	0	0	0	0	0	0	0	0
RG68	0.00674423797654755	0.00109357770257424	0	0	0	0	0	0	0	0	0	0	0	1.3857113757204e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28161312371839e-05	0	0	0	0	0	0	0	0	0	0	0
