Sample,Donor,Clone,ECB_sample,Day,total_nr_win,total_nr_win_up,total_nr_win_down,fraction_win_up,fraction_win_down,fraction_total_win_altered
D3C3_260d,D3,C3,NO,260,49559,0,2650,0.0,0.053471619685627234,0.053471619685627234
D2C3_743d,D2,C3,NO,743,49559,2013,1273,0.04061825299138401,0.02568655541879376,0.06630480841017777
D2C2_55d,D2,C2,NO,55,49559,0,0,0.0,0.0,0.0
D1C2_116d,D1,C2,NO,116,49559,0,0,0.0,0.0,0.0
D2C3_190d,D2,C3,NO,190,49559,0,0,0.0,0.0,0.0
D3C3_55d,D3,C3,NO,55,49559,0,0,0.0,0.0,0.0
D1C1_190d,D1,C1,NO,190,49559,394,7311,0.007950120058919671,0.1475211364232531,0.15547125648217278
D2C1_588d,D2,C1,NO,588,49559,2237,625,0.04513811820254646,0.01261123105793095,0.05774934926047741
D3C3_609d,D3,C3,NO,609,49559,0,4069,0.0,0.08210415867955366,0.08210415867955366
D2WT_P4,D2,WT,NO,P4,49559,0,0,0.0,0.0,0.0
D1C1_608d,D1,C1,NO,608,49559,644,10344,0.012994612482092051,0.2087209185011804,0.22171553098327246
D3C2_296dMid,D3,C2,NO,296dMi,49559,782,1896,0.015779172299683206,0.038257430537339335,0.05403660283702254
D3C1_190d,D3,C1,NO,190,49559,234,1035,0.004721644908089348,0.020884198631933654,0.025605843540023
D1C3_257d,D1,C3,NO,257,49559,1381,1173,0.02786577614560423,0.023668758449524808,0.051534534595129036
